City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
147,saldanha,-33.0117,17.9442,53.65,85,12,14.97,ZA,1683152811
148,nagqu,31.5,92.0,27.48,97,100,4.45,CN,1683152811
149,avarua,-21.2078,-159.775,75.25,94,100,20.71,CK,1683152811
150,akureyri,65.6835,-18.0878,42.73,70,0,4.61,IS,1683152811
151,naze,28.3667,129.4833,68.92,76,90,13.27,JP,1683152811
152,tejen,37.3834,60.5054,64.99,66,92,18.52,TM,1683152812
153,north bay,46.3168,-79.4663,53.62,76,40,11.5,CA,1683152812
154,taro,-8.3862,115.28,73.4,93,33,1.01,ID,1683152812
155,kandukur,15.2167,79.9167,82.15,82,91,4.76,IN,1683152812
156,kruisfontein,-34.0033,24.7314,55.89,91,0,4.41,ZA,1683152812
157,college,64.8569,-147.8028,48.52,45,75,6.91,US,1683152812
158,tromso,69.6496,18.957,30.22,64,75,2.3,NO,1683152583
159,grand falls-windsor,48.9332,-55.6649,41.5,91,100,1.99,CA,1683152813
160,keflavik,64.0049,-22.5624,42.71,81,100,14.97,IS,1683152813
161,karaton,-6.3424,106.1045,74.48,95,97,1.16,ID,1683152813
162,newman,37.3138,-121.0208,63.28,70,100,5.01,US,1683152813
163,alpena,45.0617,-83.4327,55.72,60,75,11.5,US,1683152813
164,castillos,-34.1667,-53.8333,57.43,70,3,5.57,UY,1683152813
165,takaungu,-3.6837,39.8566,78.13,83,3,12.91,KE,1683152813
166,port augusta,-32.5,137.7667,52.92,74,2,1.81,AU,1683152814
167,sinabang,2.4803,96.3801,80.33,80,95,1.23,ID,1683152814
168,taksimo,56.3444,114.8794,32.52,72,100,4.45,RU,1683152814
169,eyl,7.9803,49.8164,84.27,76,33,14.47,SO,1683152814
170,tres coracoes,-21.6969,-45.2533,62.89,78,0,2.66,BR,1683152674
171,qaqortoq,60.7167,-46.0333,35.44,69,77,2.24,GL,1683152814
172,jamestown,42.097,-79.2353,44.02,89,100,9.22,US,1683152682
173,baukau,51.5526,7.2042,51.91,62,69,1.99,DE,1683152815
174,coquimbo,-29.9533,-71.3436,56.93,88,20,8.05,CL,1683152815
175,ust-nera,64.5667,143.2,25.81,88,81,2.26,RU,1683152815
176,vorkuta,67.5,64.0,20.66,89,100,3.96,RU,1683152815
177,kitimat,54.0524,-128.6534,59.38,77,100,1.1,CA,1683152815
178,port lincoln,-34.7333,135.8667,58.68,60,98,4.07,AU,1683152815
179,hamilton,39.1834,-84.5333,60.39,55,75,16.11,US,1683152610
180,revda,56.801,59.9303,57.97,48,100,7.45,RU,1683152816
181,kochi,9.9399,76.2602,78.78,80,100,4.34,IN,1683152693
182,papao,-17.75,-149.55,87.48,82,30,21.65,PF,1683152816
183,dudinka,69.4058,86.1778,31.62,90,100,12.46,RU,1683152816
184,box elder,41.5005,-112.8764,65.14,31,100,1.95,US,1683152816
185,mejit,10.2753,170.8646,80.67,80,83,17.78,MH,1683152816
186,menongue,-14.6585,17.691,61.12,52,1,4.03,AO,1683152816
187,atafu village,-8.5421,-172.5159,84.13,70,60,15.68,TK,1683152817
188,priob'ye,62.5206,65.5964,37.63,100,100,7.43,RU,1683152817
189,howard springs,-12.497,131.047,73.87,77,51,6.73,AU,1683152817
190,kudahuvadhoo,2.6708,72.8944,81.79,79,100,18.14,MV,1683152817
191,sonneberg,50.35,11.1667,45.1,71,14,4.36,DE,1683152817
192,glace bay,46.1969,-59.957,38.89,91,100,8.05,CA,1683152817
193,talnakh,69.4865,88.3972,31.21,94,100,10.47,RU,1683152817
194,geraldton,-28.7667,114.6,55.81,67,44,4.61,AU,1683152818
195,lata,40.1629,-8.3327,62.82,97,19,3.11,PT,1683152818
196,bubaque,11.2833,-15.8333,79.21,78,10,12.5,GW,1683152818
197,charters towers,-20.1,146.2667,69.4,77,41,7.78,AU,1683152818
198,gordonvale,-17.0936,145.7842,79.9,88,100,6.13,AU,1683152742
199,kirensk,57.7853,108.1119,29.79,93,99,2.42,RU,1683152818
200,stanley,54.868,-1.6985,45.52,79,0,5.75,GB,1683152819
201,nemuro,43.3236,145.575,46.87,75,72,8.34,JP,1683152819
202,kangding,30.0513,101.9603,49.77,66,1,8.05,CN,1683152819
203,sal rei,16.1833,-22.9167,73.2,84,62,15.3,CV,1683152819
204,florida ridge,27.5803,-80.3867,87.01,51,0,9.22,US,1683152819
205,dobrinka,52.1653,40.4731,50.74,84,87,7.4,RU,1683152819
206,melfort,52.8667,-104.6177,73.53,15,0,9.22,CA,1683152819
207,curillo,1.0333,-75.9191,75.69,94,72,0.96,CO,1683152820
208,quellon,-43.1167,-73.6167,50.25,93,100,5.75,CL,1683152820
209,buka,40.8108,69.1986,52.23,37,98,7.47,UZ,1683152820
210,chui,-33.6971,-53.4616,58.93,71,3,6.67,UY,1683152646
211,haiku-pauwela,20.9219,-156.3051,84.22,59,20,17.27,US,1683152820
212,sergokala,42.4547,47.6612,56.5,72,66,5.08,RU,1683152820
213,pea ridge,38.414,-82.3199,57.97,69,82,1.01,US,1683152821
214,rio grande,-32.035,-52.0986,64.51,91,100,13.78,BR,1683152545
215,petrolina,-9.3986,-40.5008,82.45,69,40,5.75,BR,1683152821
216,kill devil hills,36.0307,-75.676,59.99,52,40,11.5,US,1683152821
217,khorixas,-20.3667,14.9667,70.48,25,7,6.49,,1683152821
218,post,33.1909,-101.3782,84.06,28,70,8.88,US,1683152821
219,pisco,-13.7,-76.2167,71.65,73,0,23.02,PE,1683152822
220,sumbawa besar,-8.5,117.4333,72.99,91,25,3.94,ID,1683152822
221,igarka,67.4667,86.5833,20.95,97,57,6.4,RU,1683152822
222,howrah,22.5892,88.3103,80.6,83,75,0.0,IN,1683152822
223,nyurba,63.2842,118.3319,25.3,91,94,8.21,RU,1683152823
